std_no,department_no,class_code,class_name,period
06065081,065,MAK4681,Kalıp İmal Tekniği,GÜZ DÖNEMİ
08065224,065,MAK4901,Buhar Kazanları,GÜZ DÖNEMİ
09065106,065,MAK4901,Buhar Kazanları,GÜZ DÖNEMİ
08071103,071,MIM2421,Mimarlık Tarihi,GÜZ DÖNEMİ
09071041,071,MIM3121,Suluboya Tekniği,GÜZ DÖNEMİ
03071034,071,MIM3122,Mimarlıkta Peyzaj Tasarımı,GÜZ DÖNEMİ
06071048,071,MIM3122,Mimarlıkta Peyzaj Tasarımı,GÜZ DÖNEMİ
06071048,071,MIM3242,Günışığı,GÜZ DÖNEMİ
09071041,071,MIM3322,Türk Evi Ve Koruması,GÜZ DÖNEMİ
01071116,071,MIM3331,Mimar Sinan Ve Dönemi,GÜZ DÖNEMİ
06071048,071,MIM3332,1970 Sonrası Dünya Mimarlığı,GÜZ DÖNEMİ
03071169,071,MIM4012,Mimari Tasarım 7,GÜZ DÖNEMİ
03071197,071,MIM4012,Mimari Tasarım 7,GÜZ DÖNEMİ
04071002,071,MIM4012,Mimari Tasarım 7,GÜZ DÖNEMİ
06071705,071,MIM4012,Mimari Tasarım 7,GÜZ DÖNEMİ
07071041,071,MIM4012,Mimari Tasarım 7,GÜZ DÖNEMİ
07071901,071,MIM4012,Mimari Tasarım 7,GÜZ DÖNEMİ
08071122,071,MIM4012,Mimari Tasarım 7,GÜZ DÖNEMİ
07071701,071,MIM4012,Mimari Tasarım 7,GÜZ DÖNEMİ
09071021,071,MIM4012,Mimari Tasarım 7,GÜZ DÖNEMİ
08071121,071,MIM4012,Mimari Tasarım 7,GÜZ DÖNEMİ
09071041,071,MIM4012,Mimari Tasarım 7,GÜZ DÖNEMİ
03071197,071,MIM4012,Mimari Tasarım 7,GÜZ DÖNEMİ
06071705,071,MIM4012,Mimari Tasarım 7,GÜZ DÖNEMİ
08071121,071,MIM4012,Mimari Tasarım 7,GÜZ DÖNEMİ
03071034,071,MIM4511,Ortadoğu Ülkelerinde İslam Mimarlığı,GÜZ DÖNEMİ
06071048,071,MIM4511,Ortadoğu Ülkelerinde İslam Mimarlığı,GÜZ DÖNEMİ
09067012,067,MKT3861,İmalat Yöntemleri,GÜZ DÖNEMİ
09067035,067,MKT3861,İmalat Yöntemleri,GÜZ DÖNEMİ
09067012,067,MKT4822,Mekatronik Mühendisliğinde Özel Konular,GÜZ DÖNEMİ
09067012,067,MKT4829,Havacılığın Temelleri,GÜZ DÖNEMİ
09067012,067,MKT4833,Mekanik Titreşimler,GÜZ DÖNEMİ
07052030,052,MTM3531,Özel Fonksiyonlar,GÜZ DÖNEMİ
06052002,052,MTM3551,İntegral Dönüşümler,GÜZ DÖNEMİ
07052030,052,MTM3591,Bulanık Mantık,GÜZ DÖNEMİ
09052049,052,MTM3611,Matematik Tarihi,GÜZ DÖNEMİ
09052060,052,MTM3611,Matematik Tarihi,GÜZ DÖNEMİ
06052002,052,MTM4581,Oyunlar Teorisine Giriş,GÜZ DÖNEMİ
09052049,052,MTM4581,Oyunlar Teorisine Giriş,GÜZ DÖNEMİ
09052060,052,MTM4581,Oyunlar Teorisine Giriş,GÜZ DÖNEMİ
06052002,052,MTM4641,Veri Madenciliğine Giriş,GÜZ DÖNEMİ
09052028,052,MTM4681,Mobil Programlama,GÜZ DÖNEMİ
07034601,034,SBU2551,Ortadoğuda Toplumsal Ve Siyasal Konular,GÜZ DÖNEMİ
09034042,034,SBU2551,Ortadoğuda Toplumsal Ve Siyasal Konular,GÜZ DÖNEMİ
03034060,034,SBU2652,Amerikan Dış Politikası,GÜZ DÖNEMİ
09034012,034,SBU3122,Medya Ve Politika,GÜZ DÖNEMİ
