department_code,elective_courses
KVK,"['KVK2111', 'KVK2121', 'KVK2131', 'KVK2141', 'KVK2112', 'KVK2122', 'KVK2132', 'KVK2142', 'KVK3211', 'KVK3221', 'KVK3231', 'KVK3212', 'KVK3222', 'KVK3232', 'KVK4211', 'KVK4221', 'KVK4212', 'KVK3312', 'KVK3322', 'KVK3332', 'KVK3342', 'KVK4312', 'KVK4322', 'KVK4332', 'KVK4342', 'KVK4352', 'MIM3312', 'MIM4061', 'MIM2680', 'MIM3321', 'MIM3331', 'MIM3451', 'MIM3172', 'MIM3322', 'MIM3342', 'MIM3282', 'MIM4101', 'MIM4181', 'MIM4331', 'MIM4302', 'MIM4322', 'MIM4332', 'MIM4342', 'MIM4600', 'MIM3010', 'SBP4390', 'SBP3330']"
MKT,"['MKT3861', 'MKT3871', 'MKT4811', 'MKT4813', 'MKT4815', 'MKT4837', 'MKT4846', 'MKT4819', 'MKT4818', 'MKT4820', 'MKT4821', 'MKT4822', 'MKT4823', 'MKT4824', 'MKT4825', 'MKT4826', 'MKT4827', 'MKT4828', 'MKT4829', 'MKT4830', 'MKT4831', 'MKT4832', 'MKT4833', 'MKT4834', 'MKT4835', 'MKT4836', 'MKT4838', 'MKT4840', 'MKT4842', 'MKT4844', 'MKT4845', 'MKT4814', 'MKT4816', 'MKT2201', 'MAK3281', 'ELM3292', 'END2982', 'KOM3781', 'END4911']"
MAK,"['MAK3071', 'MAK3081', 'MAK3671', 'MAK3561', 'MAK3141', 'MAK3151', 'MAK3181', 'MAK3191', 'MAK3201', 'MAK3961', 'MAK3461', 'MAK3681', 'MAK3691', 'MAK3401', 'MAK3431', 'MAK3471', 'MAK3441', 'MAK3451', 'MAK3572', 'MAK3402', 'MAK3672', 'MAK3372', 'MAK3802', 'MAK3792', 'MAK3102', 'MAK3662', 'MAK3462', 'MAK3592', 'MAK3162', 'MAK3602', 'MAK3882', 'MAK3812', 'MAK3252', 'MAK3682', 'MAK3272', 'MAK3482', 'MAK3582', 'MAK3472', 'MAK3652', 'MAK3502', 'MAK3692', 'MAK3782', 'MAK3452', 'MAK4681', 'MAK4481', 'MAK4541', 'MAK4581', 'MAK4671', 'MAK4561', 'MAK4491', 'MAK4571', 'MAK4401', 'MAK4461', 'MAK4661', 'MAK4651', 'MAK4591', 'MAK4521', 'MAK4071', 'MAK4941', 'MAK4931', 'MAK4921', 'MAK4911', 'MAK4901', 'MAK4181', 'MAK4891', 'MAK4601', 'MAK4241', 'MAK4251', 'MAK4261', 'MAK4801', 'MAK4672', 'MAK4492', 'MAK4464', 'MAK4994', 'MAK4996', 'MAK4997', 'MAK4998', 'MAK4682', 'MAK4502', 'MAK4402', 'MAK4522', 'MAK4562', 'MAK4532', 'MAK4582', 'MAK4702', 'MAK4652', 'MAK4692', 'MAK4602', 'MAK4662', 'MAK4552', 'MAK4982', 'MAK4592', 'MAK4052', 'MAK4062', 'MAK4082', 'MAK4092', 'MAK4972', 'MAK4962', 'MAK4942', 'MAK4152', 'MAK4172', 'MAK4182', 'MAK4192', 'MAK4202', 'MAK4922', 'MAK4912', 'MAK4902', 'MAK4242', 'MAK4282', 'MAK4292', 'MAK4252', 'MAK4302', 'MAK4892', 'MAK4882', 'END3560', 'END3570', 'END3870', 'END3880', 'END3890', 'END3900', 'END3910', 'END3920', 'END3930', 'END3960', 'END3980', 'END3990']"
END,"['END3580', 'END3590', 'END3712', 'END3730', 'END3750', 'END3760', 'END3770', 'END3820', 'END3830', 'END3850', 'END3860', 'END3940', 'END3950', 'END3732', 'END3742', 'END3750', 'END3762', 'END3842', 'END3872', 'END3560', 'END3570', 'END3870', 'END3880', 'END3890', 'END3900', 'END3910', 'END3920', 'END3930', 'END3960', 'END3980', 'END3990', 'END4660', 'END4670', 'END4680', 'END4690', 'END4710', 'END4720', 'END4770', 'END4810', 'END4820', 'END4830', 'END4850', 'END4890', 'END4950', 'END4960', 'END4970', 'END4990', 'END4360', 'END4370', 'END4380', 'END4390', 'END4400', 'END4410', 'END4420', 'END4430', 'END4440', 'END4450', 'END4460', 'END4470', 'END4480', 'END4490', 'END4500', 'END4650', 'MAK4422', 'MAK3071', 'MAK3081', 'MAK3102', 'MAK3141', 'MAK3151', 'MAK3162', 'MAK3181', 'MAK3191', 'MAK3201', 'MAK3252', 'MAK3272', 'MAK3372', 'MAK3401', 'MAK3402', 'MAK3431', 'MAK3441', 'MAK3451', 'MAK3452', 'MAK3461', 'MAK3462', 'MAK3471', 'MAK3472', 'MAK3482', 'MAK3502', 'MAK3561', 'MAK3572', 'MAK3582', 'MAK3592', 'MAK3602', 'MAK3652', 'MAK3662', 'MAK3671', 'MAK3672', 'MAK3681', 'MAK3682', 'MAK3691', 'MAK3692', 'MAK3782', 'MAK3792', 'MAK3802', 'MAK3812', 'MAK3882', 'MAK3961', 'MAK4052', 'MAK4062', 'MAK4071', 'MAK4082', 'MAK4092', 'MAK4152', 'MAK4172', 'MAK4181', 'MAK4182', 'MAK4192', 'MAK4202', 'MAK4241', 'MAK4242', 'MAK4251', 'MAK4252', 'MAK4261', 'MAK4282', 'MAK4292', 'MAK4302', 'MAK4401', 'MAK4402', 'MAK4461', 'MAK4481', 'MAK4491', 'MAK4492', 'MAK4502', 'MAK4521', 'MAK4522', 'MAK4532', 'MAK4541', 'MAK4552', 'MAK4561', 'MAK4562', 'MAK4571', 'MAK4581', 'MAK4582', 'MAK4591', 'MAK4592', 'MAK4601', 'MAK4602', 'MAK4651', 'MAK4652', 'MAK4661', 'MAK4662', 'MAK4671', 'MAK4672', 'MAK4681', 'MAK4682', 'MAK4692', 'MAK4702', 'MAK4801', 'MAK4882', 'MAK4891', 'MAK4892', 'MAK4901', 'MAK4902', 'MAK4911', 'MAK4912', 'MAK4921', 'MAK4922', 'MAK4931', 'MAK4941', 'MAK4942', 'MAK4962', 'MAK4972', 'MAK4982', 'SBP4310', 'SBP4360']"
MSE,"['MSE3501', 'MSE3511', 'MSE3521', 'MSE3531', 'MSE3541', 'MSE3551', 'MSE3561', 'MSE3571', 'MSE3581', 'MSE3602', 'MSE3622', 'MSE3632', 'MSE4492', 'MSE3642', 'MSE3652', 'MSE3662', 'MSE4402', 'MSE4412', 'MSE4420', 'MSE4432', 'MSE4442', 'MSE4452', 'MSE4462', 'MSE4472', 'MSE4482', 'MSE4861', 'MSE4871', 'MSE4881', 'MSE4891', 'MSE4901', 'MSE4911', 'MSE4921', 'MSE4931', 'MSE4941', 'MSE4951', 'MSE4961', 'MSE4971', 'MSE4981', 'MSE4991', 'MSE4972', 'MSE4982', 'MSE4992', 'MSE4831', 'MSE4841', 'MSE4851']"
MTM,"['MTM2552', 'MTM2562', 'MTM2572', 'MTM2582', 'MTM2622', 'MTM2602', 'MTM2612', 'MTM3521', 'MTM3531', 'MTM3541', 'MTM3551', 'MTM3661', 'MTM3561', 'MTM3571', 'MTM3581', 'MTM3591', 'MTM3671', 'MTM3601', 'MTM3611', 'MTM3621', 'MTM3631', 'MTM3641', 'MTM3681', 'MTM3542', 'MTM3552', 'MTM3562', 'MTM3572', 'MTM3632', 'MTM3582', 'MTM3592', 'MTM3602', 'MTM3612', 'MTM3642', 'MTM4521', 'MTM4531', 'MTM4541', 'MTM4551', 'MTM4561', 'MTM4571', 'MTM4581', 'MTM4591', 'MTM4601', 'MTM4661', 'MTM4621', 'MTM4631', 'MTM4641', 'MTM4651', 'MTM4671', 'MTM4681', 'MTM4702', 'MTM4522', 'MTM4532', 'MTM4542', 'MTM4552', 'MTM4562', 'MTM4572', 'MTM4582', 'MTM4592', 'MTM4602', 'MTM4612', 'MTM4682', 'MTM4622', 'MTM4632', 'MTM4642', 'MTM4652', 'MTM4692']"
KMM,"['KMM2642', 'KMM3551', 'KMM3561', 'KMM3571', 'KMM3581', 'KMM3591', 'KMM3611', 'KMM3621', 'KMM3552', 'KMM3562', 'KMM3572', 'KMM3582', 'KMM3592', 'KMM4641', 'KMM4651', 'KMM4661', 'KMM4671', 'KMM4681', 'KMM4691', 'KMM4711', 'KMM4721', 'KMM4731', 'KMM4741', 'KMM4642', 'KMM4652', 'KMM4662', 'KMM4672', 'KMM4682', 'KMM4692', 'KMM4702', 'KMM4712', 'KMM4722', 'DNS1210', 'ITB3250', 'ITB2040', 'ITB2090', 'ITB2020', 'ITB3260', 'ITB2030', 'ITB3270', 'ITB3210', 'ITB2080', 'ITB3360', 'ITB3220', 'ITB3390', 'ITB3010', 'ITB3330', 'ITB3420', 'ITB3020', 'ITB3570', 'ITB3040', 'ITB3550', 'ITB3130', 'ITB3560', 'ITB3150', 'ITB4100', 'MTP4760', 'CEV2231', 'CEV3321', 'ISL1611', 'ISL1711', 'ISL3660', 'ISL4910', 'ISL3460', 'ISL3450', 'ISL4631', 'ELM2082', 'ISL1622', 'ISL3912', 'ISL3930', 'ISL4611', 'ISL4420', 'ELM3252', '']"
GDM,"['GDM3262', 'GDM3282', 'GDM3192', 'GDM3292', 'GDM3332', 'GDM3202', 'GDM4183', 'GDM4185', 'GDM4141', 'GDM4171', 'GDM4181', 'GDM4091', 'GDM4101', 'GDM4201', 'GDM4221', 'GDM4184', 'GDM4186', 'GDM4212', 'GDM4192', 'GDM4142', 'GDM4152', 'GDM4252', 'GDM4182', 'GDM4172', 'CEV4111', 'CEV4141']"
BYM,"['BYM2201', 'BYM2301', 'BYM2401', 'BYM2502', 'BYM2602', 'BYM2702', 'BYM3331', 'BYM3361', 'BYM3521', 'BYM3651', 'BYM3402', 'BYM3502', 'BYM3602', 'BYM3802', 'BYM4321', 'BYM4451', 'BYM4521', 'BYM4661', 'BYM4691', 'BYM4721', 'BYM4851', 'BYM4102', 'BYM4202', 'BYM4302', 'BYM4502', 'BYM4292', 'BYM4472', 'BYM4672']"
INS,"['INS2921', 'INS2931', 'INS2932', 'INS2942', 'INS3832', 'INS3012', 'INS3122', 'INS3222', 'INS3232', 'INS3242', 'INS3452', 'INS3592', 'INS3682', 'INS3712', 'INS3782', 'INS3822', 'INS3892', 'INS4541', 'INS4001', 'INS3542', 'INS3562', 'INS3572', 'INS3692', 'INS4111', 'INS4112', 'INS4121', 'INS4212', 'INS4222', 'INS4232', 'INS4251', 'INS4272', 'INS4412', 'INS4421', 'INS4431', 'INS4452', 'INS4462', 'INS4482', 'INS4491', 'INS4512', 'INS4522', 'INS4532', 'INS4562', 'INS4571', 'INS4572', 'INS4581', 'INS4582', 'INS4711', 'INS4741', 'INS4812', 'INS4822', 'INS4131', 'INS4281', 'INS4291', 'INS4471', 'INS4481', 'INS4631', 'INS4641', 'INS4651', 'INS4721', 'INS4312', 'INS4632', 'INS4642', 'INS4662', 'INS4672', 'INS2011', 'INS2021', 'INS3841', 'INS3001', 'INS3921', 'INS3931', 'KMM4741', 'CEV1121', 'CEV1141', 'CEV4452', 'CEV3072', 'CEV4522', 'END4911', 'HRT3872', 'HRT4512', 'HRT4901', 'ISL4350', 'KMM4301', 'KMM4741', 'MTM2522', 'MTM4501', 'MTM4502', 'INS3921', 'INS3931']"
