class_code,class_name
MAK4591,Akıllı Binalarda Mekanik Tesisat Ve Elemanları
MAK4651,Kütle Transferi
MAK4681,Kalıp İmal Tekniği
MAK4901,Buhar Kazanları
MAK9000,Bitirme Çalışması
MAT1071,Matematik 1
MAT1071,Matematik 1 Türkçe (1) Grupları Ortak Sınav
MAT1072,Matematik 2
MAT1152,Lineer Cebir 2
MAT1320,Lineer Cebir
MAT1320,Lineer Cebir Türkçe Grupları Ortak Sınav
MAT1811,Lineer Cebir 1
MAT1821,Matematik
MAT1821,Matematik Türkçe Grupları Ortak Sınav
MAT2411,Diferansiyel Denklemler
MAT2411,Diferansiyel Denklemler Türkçe Grupları Ortak Sınav
MAT3151,Diferansiyel Geometri 1
MAT3161,Soyut Cebir
MAT3181,Sayısal Analiz 1
MAT4041,Fonksiyonel Analize Giriş
MAT4111,Kompleks Fonksiyonlar Teorisi 1
MAT4430,Riesz Uzaylarına Giriş
MIM1031,Mimari Anlatım Teknikleri
MIM1051,Bina Bilgisi 1
MIM2031,Mimarlıkta Yapı Statiği
MIM2081,Bilgisayar Ortamında Mimarlık
MIM2101,Yapı Elemanları 2
MIM2421,Mimarlık Tarihi
MIM3011,Mimari Tasarım 4
MIM3012,Mimari Tasarım 5
MIM3041,Taşıyıcı Sistem Tasarımı 2
MIM3051,Mimarlık Tarihi 3
MIM3121,Suluboya Tekniği
MIM3122,Mimarlıkta Peyzaj Tasarımı
MIM3242,Günışığı
MIM3322,Türk Evi Ve Koruması
MIM3331,Mimar Sinan Ve Dönemi
MIM3332,1970 Sonrası Dünya Mimarlığı
MIM4000,Bitirme Çalışması
MIM4011,Mimari Tasarım 6
MIM4012,Mimari Tasarım 7
MIM4041,Tesisat Bilgisi
MIM4511,Ortadoğu Ülkelerinde İslam Mimarlığı
MKT1831,Lab 1- Atölye Ve İmalat
MKT2141,Analog Elektronik
MKT2151,Nesneye Yönelik Programlama
MKT3801,Sistem Dinamiği
MKT3811,Mikroişlemciler Ve Programlanması
MKT3821,Makine Elemanları
MKT3831,Akışkanlar Mekaniği Ve Isı Geçişi
MKT3841,Sayısal Yöntemler
MKT3861,İmalat Yöntemleri
MKT4801,Elektriksel Tahrik Sistemleri
MKT4822,Mekatronik Mühendisliğinde Özel Konular
MKT4829,Havacılığın Temelleri
MKT4833,Mekanik Titreşimler
MTF4201,Sözlü Çeviri 3
MTF9000,Bitirme Çalışması
MTM1531,Lineer Cebir
MTM1551,İş Sağlığı Ve Güvenliği 1
MTM2501,İleri Analiz 1
MTM2531,Diferansiyel Denklemler
MTM3531,Özel Fonksiyonlar
MTM3551,İntegral Dönüşümler
MTM3591,Bulanık Mantık
MTM3611,Matematik Tarihi
MTM3691,Lineer Programlama Teorisi
MTM3701,Mekanik 1
MTM4000,Bitirme Çalışması
MTM4501,Yöneylem Araştırması
MTM4511,Matematik Mühendisliğinde  Tasarım Uygulamaları
MTM4581,Oyunlar Teorisine Giriş
MTM4641,Veri Madenciliğine Giriş
MTM4681,Mobil Programlama
MTP1151,Müzik Tarihi Antik Yunan Ve Rönesans
MTP2161,Yardımcı Piyano 2
MTP2171,Koro 1
MTP3151,Müzik Tarihi 1900/1950 Arası
MTP3161,Yardımcı Piyano 4
MTP4000,Bitirme Çalışması
MTP4031,Piyano 7
MTP4191,Oda Müziği 5
SBU1031,Sosyoloji
SBU1401,Siyaset Bilimine Giriş
SBU2311,Siyasi Tarih 1
SBU2501,Siyaset Kuramı I
SBU2551,Ortadoğuda Toplumsal Ve Siyasal Konular
SBU2652,Amerikan Dış Politikası
SBU3011,Devletler Hukuku 1
SBU3101,Uluslararası İlişkiler 1
SBU3111,Türkiye Siyaseti 1
SBU3122,Medya Ve Politika
SBU3126,Siyasal İletişim Ve Lobicilik
SBU3201,Karşılaştırılmalı Devlet Sistemleri
SBU3301,Mesleki İngilizce 2
SBU3401,Araştırma Yöntemleri
SBU3502,Toplumsal Duyarlılık Projesi 1
SBU4000,Bitirme Çalışması
SBU4111,Türkiyenin Dış Politikası 1
SBU4121,Uluslararası İlişkiler Kuramları
SBU4221,Sosyal Politika Ve Sosyal Ekonomi
SBU4611,Balkanlarda Uluslaşma Hareketleri Ve Türkiye
SYP1611,Uygarlık ve Sanat Tarihi 1
SYP3221,Batılılaşma Döneminden Günümüze Türk Sanatı
SYP4000,Bitirme Çalışması
TDE4241,Eski Türk Edebiyatı 18. Yüzyıl
TDE4391,Türk Tiyatro Tarihi
BLM1012,Yapısal Prog. Giriş
BLM1022,Sayısal Analiz
BLM1032,Devre Teorisi
BLM2012,Nesneye Yönelik Programlama
BLM2022,Bilgisayar Donanımı
BLM2032,Elektronik Devreler
BLM2502,Hesaplama Kuramı
BLM3012,Mesleki Hukuk Ve Etik
BLM3022,Ağ Teknolojileri
BLM3520,Mobil Programlamaya Giriş
BLM3620,Sayısal İşaret İşleme
BLM3780,Veritabanı Sistemlerinin Gerçekleştirilmesi
BLM4120,Büyük Veri İşleme Ve Analizi
BLM4510,Yapay Zeka
BLM4590,Ayrık Olay Simulasyonu
BLM4830,Robot Teknolojisine Giriş
BLM4900,İleri Ağ Programlama
BSP1102,Temel Tasarım 2
BSP3282,Disiplinlerarası Sanat
BSP3301,Doğu Mitolojisi
BSP4332,Felsefe Ve Sanat
BTO3822,Eğitim Felsefesi
BTO4162,Proje Geliştirme Ve Yönetimi 2
BTO4212,Öğretmenlik Uygulaması
CEV3362,İçme Sularının Arıtılması
DTP1552,Temel Kompozisyon Teknikleri
DTP1802,Solfej 2
DTP2542,Alan Araştırmasında Yöntem
DTP2802,Solfej 4
DTP3802,Solfej 6
EHM1012,Elektrik Devre Temelleri
EHM1022,Mühendislik Matematiği
EHM2132,Elektromagnetik Dalga Teorisi
EHM3122,Haberleşme 2
EHM3132,Otomatik Kontrol
EHM3152,Haberleşme Lab.
EHM4012,İş Hayatına Hazırlık
EHM4350,Sayısal Elektronik Devreleri
EHM4850,Haberleşme Teorisi
EHM9000,Bitirme Çalışması
ELM1002,Devre Teorisi
ELM1042,İş Sağlığı ve Güvenliği 2
ELM2020,Malzeme
ELM2042,Elektronik
ELM2072,Aydınlatma Tekniği
ELM3092,Elektrik Makinaları 2
ELM3182,Güç Elektroniği 2
ELM3762,Enerji Dağıtımı
ELM3792,Güç Elektroniği Lab.1
ELM4042,Yenilenebilir Enerji Sistemleri
END2982,Üretim Sistemleri
END3942,Simülasyon
END3952,Tedarik Zinciri ve Lojistik Yönetimi
END3962,Üretim Planlama Ve Kontrol
END4000,Bitirme Çalışması
END4992,Endüstriyel Yönetim
FIZ1002,Fizik 2
FIZ1002,Fizik 2 Türkçe Grupları Ortak Sınav
FIZ1112,Fizik 2
FIZ1951,Mühendisler İçin Yarıiletken Fiziği 1
FIZ3222,Elektronik 1
FIZ3370,Maddenin Yapısına Giriş
FIZ3402,Kuantum Fiziği 2
FIZ3422,İstatistik Fizik
FIZ4550,X-ışınları
FIZ4570,Nükleer Veri Toplanması Ve Değerlendirilmesi
FIZ4620,Fotonik
FIZ4702,Atom Ve Molekül Fiziği Lab.
FIZ4820,Çekirdek Fiziği 2
FVP3711,Deneysel Fotoğraf
FVP4442,Moda Fotografı
FVP4451,Fotoğraf Kuramı
FVP4461,Güncel Fotoğraf Pratiği
HRT1052,İstatistik
HRT1112,Mühendislik Hesaplamaları
HRT1172,Temel Bilgisayar Bilimleri
HRT1312,Ölçme Bilgisi 1
HRT3012,Arazi Çalışması
HRT3432,Coğrafi Bilgi Sistemleri 2
HRT3512,Kırsal Toprak Düzenlemesi
HRT3822,Fotogrametri
HRT4521,Kentsel Toprak Düzenlemesi
HRT4642,Taşınmaz Geliştirme Uygulaması
HRT9000,Bitirme Çalışması
IKT1102,İktisada Giriş 2
IKT1112,İktisatçılar İçin Matematik 2
IKT2902,Türkiye İktisat Tarihi
IKT3362,Uluslararası İktisat 2
IKT3650,Sürdürülebilir Kalkınma
IKT3720,Sosyal Tarih
IKT4402,Türkiye Ekonomisi
IKT4422,Türkiye Ekonomisinin Analizi
ILT1622,Sunum Tasarımı
ILT2612,1950 Sonrası Tas. Tarihi
ILT3622,Tipografik Animasyon
ILT4702,Deneysel Tipografi
ING1342,Sözlü İletişim Becerileri 2
ING1362,İngilizcenin Yapısı
ING2342,Dil Edinimi
ING3322,İngilizce Dil Becerilerinin Öğretimi 2
ING4212,Proje Seminerleri
ING4412,Kısa Öykü İncelemeleri
INS1170,Temel Bilgisayar Bilimleri
INS2222,Akışkanlar Mekaniği
INS2322,Mukavemet 2
INS2512,Yapı Statiği 1
INS2722,Yapı Malzemeleri
INS3212,Kentsel Altyapı Sistemlerinin Hidroliği
INS3442,Demiryolu Mühendisliği
INS3522,Betonarme I
INS4121,Çevre Geotekniği
INS4291,Su Yapıları Tasarımı
INS4571,Yapı Mühendisliğinde Bilgisayar Uygulamaları
INS4672,Toplu Taşıma Aktarma Merkezi Tasarımı
INS4672,Toplu Taşıma Aktarma Merkezi Tasarımı Ortak Grup Türkçe
INS4691,Betonarme Yapı Tasarımı Ortak Grup Türkçe
INS4711,Yapılarda Su Yalıtımı
ISL1171,Genel Muhasebe I
ISL1552,İşletme Matematiği 2
ISL2132,Maliyet Muhasebesi
ISL2442,Ticaret Hukuku
ISL2452,İşletmeciler İçin İstatistik 2
ISL2642,Örgütsel Davranış
ISL2851,Borçlar Hukuku
ISL3450,Sosyal Medya Pazarlama
ISL3562,Türk Vergi Sisteminin Esasları
ISL3662,Finansal Yönetim 2
ISL3912,İnsan Kaynakları Yönetimi (işletme)
ISL4000,Bitirme Çalışması
ISL4250,Sermaye Piyasası ve Analizleri
ISL4420,Satış Yönetimi
ISL4582,Nicel Karar Verme Teknikleri 2
IST1142,İstatistik
IST1172,Bilimsel Düşünme Ve İstatistik
IST2022,Matematiksel İstatistik
IST2082,Biyoistatistik
IST2142,Veri Tabanı
IST2162,Mesleki İngilizce 2
IST3012,Yöneylem Araştırması 1
IST3050,Anket Düzenleme
IST3082,İstatistikte Parametre Tahmini Ve Hipotez Testi
IST3142,Deneysel Tasarım
IST3152,İstatistik Paket Programları Kullanımı
IST4122,Zaman Serileri
IST4322,Uygulamalı Panel Veri Analizi
IST4412,Veri Madenciliğine Giriş
IST4512,Robust Tahmin Yöntemleri Ve R Uygulamaları
ITB2040,Ekonomi Politikaları ve Uygulamaları
ITB2090,Demokrasi Kültürünün İlke ve Kurumları
ITB3270,"İstanbul:Dün,Bugün ve Yarın"
ITB3570,Eğitim Felsefesi
KIM2512,Analitik Kimya 2
KIM9000,Bitirme Çalışması
KOM2722,Nümerik Analiz
KOM3550,Nesneye Dayalı Programlama
MAK1052,Teknik Resim Ve Tasarım
MAK1072,Statik
MAK2112,Akışkanlar Mekaniği 1
MAK2122,İmalat Yöntemleri 1
MAK2132,Makine Mühendisliğinde Sonlu Elemanlar Yöntemi
MAK2142,Termodinamik 2
MAK2152,Mühendislikte İstatistik
MAK2162,Endüstriyel Malzemeler
MAK2212,Mukavemet 2
MAK3172,Makine Elemanları 2
MAK3182,Makine Dinamiği
MAK3192,Turbo Makineler
MAK3272,Klima 1
MAK3372,Hidrolik Makineler
MAK3462,Demir Esaslı Metallerin Gravite Dökümü
MAK3502,İmalatta Kalite
MAK3582,Özel Kaynak Yöntemleri
MAK3652,Mühendislikte Proje Yönetimi
MAK4072,Özel Laboratuvar
MAK4082,Endüstriyel Akustik Ve Gürültü
MAK4092,Robot Mühendisliğine Giriş
MAK4192,Enerji Yönetimi 2
MAK4302,İklimlendirme Sistem Elemanları
MAK4462,Takım Tezgahları
MAK4502,Konstrüksiyon Elemanları
MAK4662,Makine Mühendisliğinde Deneysel Yöntemler
MAK4922,Arıtma Teknolojileri
MAK4972,Taşıt Ve Çevre
MAT1072,Matematik 2 Türkçe Grupları Ortak Sınav
MAT2092,Cebir 2
MAT2142,Analitik Geometri 2
MAT2412,Diferansiyel Denklemler
MAT3152,Diferansiyel Geometri 2
MAT3172,Kısmi Diferansiyel Denklemler
MAT3182,Reel Analize Giriş
MAT3320,Hilbert Uzaylarına Giriş
MAT4250,Adi Dif.Denk.Sayısal Çözümleri
MAT4320,Finans ve Yönetim Matematiği
MAT4340,Kompleks Fonksiyonlar Teorisi 2
MIM1042,Statik- Mukavemet
MIM1062,Bina Bilgisi 2
MIM1422,Sanat Ve Mimarlık Tarihine Giriş
MIM2042,Mimarlık Tarihi 2
MIM2082,Temel Bilgisayar Bilimleri
MIM2092,Taşıyıcı Sistem Tasarımı 1
MIM3032,Yapı Çözümlemesi
MIM3052,Yapı Üretimi
MIM3062,Mimarlık Tarihi 4
MIM3142,Engelsiz Mimari
MIM3540,Mimarlıkta Ölçek Ve Temsil Biçimleri
MIM3550,Mimarlıkta Kavramlarla Tasarım Düşüncesi
MIM4161,Konut Ve Kültürel Süreklilik
MKT1132,Elektrik Devre Temelleri
MKT2112,Mühendislik Mekaniği 2
MKT2142,Mukavemet
MKT2822,Elektronik Ve Haberleşme Devreleri
MKT3802,Mühendisler İçin İstatistik Ve Deneysel Yöntemler
MKT3812,Endüstriyel Otomasyon
MKT3842,Hidrolik - Pnömatik Sistemler
MKT4111,Mekatronik Sistem Tasarımı
MKT4802,Lab 4 - Sensörler Ve Aktüatörler
MTM1502,Analiz 2
MTM1532,Finans Matematiğine Giriş
MTM2502,İleri Analiz 2
MTM2522,Veri Yönetimi Ve Dosya Yapıları 1
MTM2532,Analitik Geometri
MTM2592,Olasılık Teorisi
MTM3502,Kısmi Diferansiyel Denklemler
MTM3512,Kompleks Analiz 1
MTM3522,Cebir
MTM3562,Adi Diferansiyel Denklemlerin Nümerik Çözümleri
MTM3642,Mvc Tasarım Deseni İle İnternet Programlama
MTM4502,Optimizasyon Teknikleri
MTM4522,Fonksiyonel Analize Giriş
MTM4562,Mesleki Terminoloji
MTM4592,Bilişim Etiği
MTM4692,Uygulamalı Sql
MTP1152,Müzik Tarihi Barok
MTP1162,Yardımcı Piyano 1
MTP2162,Yardımcı Piyano 3
MTP2172,Koro 2
MTP3152,Müzik Tarihi 1950 Sonrası
MTP3162,Yardımcı Piyano Bitirme
MTP4252,Halk Müziği Bilgileri 2
SBP3172,Kentsel Tasarım
SBP4912,Planlama 8
SBU1032,Türkiyenin Toplumsal Yapısı
SBU2502,Siyaset Kuramı II
SBU2572,Sanat Ve Siyaset
SBU3102,Uluslararası İlişkiler 2
SBU3124,Propaganda Ve Sosyal Medya
SBU3202,Karşılaştırılmalı Siyaset
SBU3302,Türkiye Siyaseti 2
SBU3402,Devletler Hukuku 2
SBU4101,Avrupa Birliği Ve Türkiye
SBU4122,Uluslararası İlişkilerde Güncel Konular
SBU4222,Türkiyenin Dış Politikası 2 (2021)
SYP1422,Sanatçı Hakları
SYP2131,Türk Ve Osmanlı Sanatı
SYP3252,Atölye 2
SYP3352,Türk Sanatında Motif Ve Tasarım
SYP4492,Müze Mevzuatı
BLM1011,Bilgisayar Bilimlerine Giriş
BLM1991,İş Sağlığı Ve Güvenliği 1
BLM2011,İstatistik Ve Olasılık Hesapları
BLM2611,Lojik Devreler
BLM3011,İşletim Sistemleri
BLM4520,Yapay Sinir Ağlarına Giriş
BLM4991,Çok Disiplinli Tasarım Projesi
BSP1101,Temel Tasarım 1
BSP1231,Temel Modlaj Atölyesi 1
BSP1301,Desen 1
BSP2161,Desen 1
BSP2231,Sanat Atölyesi I
BSP2412,Kolaj-asamblaj
BSP2431,Üç Boyutlu Sanat Atölyesi 1
BSP2441,Modern Sanat Manifestoları
BSP2451,Baskı Resim-1
BSP2541,Sanat Terminolojisi
BSP3011,Üç Boyutlu Sanat Atölyesi 3
BSP3231,Sanat Atölyesi III
BSP3311,Çağdaş Sanat Estetiği
BSP3361,Yeni Medya Sanatı Ve Kökenleri
BSP3992,Deneysel Kil Atölyesi
BSP4221,Üç Boyutlu Sanat Atölyesi 5
BSP4231,Sanat Atölyesi V
BSP4241,Açık Alan Uygulamaları
BTO1101,Bilişim Ve Matematik
BTO1111,Eğitimde Bilgi Teknolojileri
BTO1121,Öğretim Teknolojilerinin Temelleri
BTO1810,Öğretim Teknolojileri
BTO1911,Bilişim Teknolojileri
BTO2101,Bilişim Sistemleri Donanımı
BTO2121,Temel Programlama
BTO2140,Eğitsel Oyun Ve Oyunlaştırma
BTO2141,Eğitimde Grafik Ve Canlandırma
BTO2161,Öğretim Tasarımı
BTO2190,Medya Okuryazarlığı
BTO2903,Fizik 1
BTO2910,Medya Okuryazarlığı
BTO3052,Çoklu Ortam Tasarımı ve Üretimi
BTO3062,Veri Tabanı Yönetim Sistemleri
BTO3101,Eğitimde Modelleme Ve Tasarım
BTO3121,Web Tabanlı Programlama
BTO3131,Bilişim Öğretim Programları
BTO3151,Uzaktan Eğitim
BTO3211,İşletim Sistemleri Ve Uygulamaları
BTO3921,Mesleki İngilizce 2
BTO4131,Eğitimde Yapay Zeka Uygulamaları
BYM1201,Biyomühendisliğe Giriş
BYM2101,Moleküler Biyolojinin Temel Prensipleri
BYM2201,Biyomedikal Elektronik
BYM2222,Hücre Biyolojisi Ve Hücresel Mekanizmalar
BYM2301,Modern Biyolojiye Giriş
BYM2311,İş Sağlığı Ve Güvenliği 2
BYM2321,Biyomühendislikte Biyokimya
BYM2711,Biyotermodinamik
BYM3331,Biyomühendislikte Mikrobiyoloji
BYM3361,Genetik Kavramlar
BYM3401,Biyomühendislikte Ayırma İşlemleri
BYM3511,Genetik Mühendisliği
BYM3521,Biyoenstrümental Teknikler
BYM3602,Enzim Teknolojisi
BYM3651,Biyopolimerlerin Esasları
BYM3901,Biyomühendislikte Isı Transferi
BYM3911,Biyomühendislikte Kütle Transferi
BYM4000,Bitirme Çalışması
BYM4081,Biyomühendislikte Matematiksel Modelleme
BYM4191,Fizyoloji
BYM4241,Biyomühendislik Laboratuvarı 1
BYM4321,Kontrollü Salım Sistemleri
BYM4451,Biyoteknoloji Ve Biyogüvenlik
BYM4691,Biyokimyasal Mühendislik
BYM4721,Biyomühendislikte Nanoteknoloji
BYM4741,Biyoproses Mühendisliği
BYM4851,Çevre Mikrobiyolojisi
CEV1001,Çevre Mühendisliğine Giriş
CEV1121,Rapor Yazma Ve Sunum Teknikleri
CEV2201,Çevre Kimyası 1
CEV2231,İstatistik
CEV2241,Çevre Müh. Akışkanlar Mekaniği
CEV3001,Katı Atıklar
CEV3071,Kimyasal Temel İşlemler
CEV3111,Fiziksel Temel İşlemler
CEV3301,Su Temini
CEV3321,Hava Kirliliği
CEV4000,Bitirme Çalışması
CEV4001,Tasarım Projesi
CEV4041,Endüstriyel Kirlenme Kontrolü
CEV4111,Çevre Ve Halk Sağlığı
