department_code,department_no
BLM,011
BSP,081
BTO,091
BYM,056
CEV,041
DTP,083
EHM,014
ELM,012
END,061
FBO,095
FIZ,022
FVP,084
GDM,057
GRA,089
HRT,046
IKT,031
ILT,085
ING,093
INS,042
ISL,033
IST,023
KIM,024
KMM,051
KOM,015
KVK,074
MAK,065
MAT,025
MBG,028
MIM,071
MKT,067
MTF,026
MTM,052
MTP,086
OKL,099
PDR,094
SBO,097
SBP,072
SBU,034
SNF,096
SYP,087
TDE,027
