department_code,vocational_elective_courses
FIZ,"['FIZ3370', 'FIZ3420', 'FIZ3430', 'FIZ3610', 'FIZ3620', 'FIZ3630', 'FIZ3640', 'FIZ4440', 'FIZ4450', 'FIZ4460', 'FIZ4470', 'FIZ4480', 'FIZ4490', 'FIZ4510', 'FIZ4790', 'FIZ4520', 'FIZ4530', 'FIZ4540', 'FIZ4550', 'FIZ4560', 'FIZ4570', 'FIZ4580', 'FIZ4590', 'FIZ9901', 'FIZ9902', 'EHM4800', 'FIZ3650', 'FIZ4110', 'FIZ4290', 'FIZ4430', 'FIZ4610', 'FIZ4620', 'FIZ4640', 'FIZ4690', 'FIZ4810', 'FIZ4820', 'FIZ9903', 'FIZ4702', 'FIZ4712', 'FIZ4722', 'FIZ9904']"
FVP,"['FVP1422', 'FVP1402', 'FVP1412', 'SYP2572', 'SYP1072', 'FVP2441', 'FVP2401', 'FVP2471', 'FVP2451', 'FVP2431', 'FVP2411', 'FVP2901', 'BSP2541', 'MDB2051', 'FVP2472', 'FVP2442', 'FVP2462', 'FVP2452', 'FVP2152', 'FVP2912', 'BSP2362', 'BSP2262', 'FVP3721', 'FVP3702', 'FVP3711', 'FVP3441', 'BSP2441', 'FVP3431', 'FVP3421', 'FVP3411', 'SYP3221', 'SYP2131', 'FVP3911', 'BSP3361', 'BSP3261', 'FVP3722', 'FVP3742', 'FVP3402', 'FVP3442', 'FVP3142', 'FVP3472', 'FVP3452', 'FVP3462', 'FVP3932', 'MDB3032', 'FVP4551', 'FVP4401', 'FVP4411', 'FVP4451', 'FVP4441', 'FVP4421', 'FVP4431', 'FVP4542', 'FVP4461', 'FVP4702', 'FVP4822', 'FVP4712', 'FVP4472', 'FVP4442', 'FVP4482', 'FVP4452', 'FVP4462']"
GDM,"['GDM3262', 'GDM3282', 'GDM3192', 'GDM3292', 'GDM3332', 'GDM3202', 'GDM4183', 'GDM4185', 'GDM4141', 'GDM4171', 'GDM4181', 'GDM4091', 'GDM4101', 'GDM4201', 'GDM4221', 'CEV4111', 'CEV4141', 'GDM4184', 'GDM4186', 'GDM4212', 'GDM4192', 'GDM4142', 'GDM4152', 'GDM4252', 'GDM4182', 'GDM4172']"
GRA,"['GRA2100', 'GRA2110', 'GRA2120', 'GRA2130', 'GRA2140', 'GRA2150', 'GRA2160', 'GRA3100', 'GRA3110', 'GRA3120', 'GRA3130', 'GRA3140', 'GRA3150', 'GRA3160', 'GRA3170', 'GRA3180', 'GRA3190', 'GRA3200', 'GRA3210', 'GRA3220', 'GRA3230', 'GRA3240', 'GRA4100', 'GRA4110', 'GRA4120', 'GRA4130', 'GRA4140', 'GRA4150', 'GRA4160', 'GRA4170', 'GRA4180', 'GRA4190', 'GRA4200', 'GRA4210', 'GRA4220', 'GRA4230']"
HRT,"['KMM4711', 'ISL1622', 'ISL1711', 'ISL3621', 'ISL3631', 'ISL3660', 'ISL3912', 'HRT3252', 'MTM4501', 'ISL1611', 'MAT3151', 'MAT4260', 'MAT4360', 'MAT4520', 'MTM2602', 'MTM2582', 'MTM3612', 'HRT3272', 'HRT3462', 'HRT3472', 'HRT3262', 'HRT3372', 'HRT3152', 'HRT3132', 'HRT3242', 'HRT3142', 'HRT4361', 'HRT4441', 'HRT4531', 'HRT4331', 'HRT4171', 'HRT4751', 'HRT4351', 'HRT4641', 'HRT4651', 'HRT4271', 'HRT4281', 'HRT4121', 'HRT4131', 'HRT4511', 'HRT4242', 'HRT4262', 'HRT4492', 'HRT4332', 'HRT4552', 'HRT4172', 'HRT4212', 'HRT4372', 'HRT4482', 'HRT4642']"
IKT,"['BLM4530', 'IKT4790', 'IKT3912', 'EHM2161', 'IKT3810', 'IKT3820', 'IKT3830', 'IKT3840', 'IKT3610', 'IKT3620', 'IKT3630', 'IKT3640', 'IKT3650', 'IKT3660', 'IKT3670', 'IKT3680', 'IKT3690', 'IKT3700', 'IKT3710', 'IKT3720', 'IKT3730', 'IKT3740', 'IKT3750', 'IKT3512', 'IKT4610', 'IKT4620', 'IKT4630', 'IKT4660', 'IKT4670', 'IKT4680', 'IKT4690', 'IKT4710', 'IKT4720', 'IKT4730', 'IKT4740', 'IKT4760', 'IKT4770', 'IKT4780', 'ISL2132', 'ISL2211', 'ISL3221', 'IKT4700', 'IKT4640', 'IKT4650', 'IKT4750']"
ILT,"['ILT2701', 'ILT2702', 'ILT2711', 'ILT2712', 'ILT2721', 'ILT2722', 'ILT2731', 'ILT2732', 'ILT2750', 'ILT3801', 'ILT3802', 'ILT3811', 'ILT3812', 'ILT4702', 'ILT4712', 'ILT4801', 'ILT4811', 'ISL3360', 'ISL3460', 'ISL3450', 'ILT3701', 'ILT3702', 'ILT3711', 'ILT3721', 'ILT3722', 'ILT3731', 'ILT3732', 'ILT3750', 'ILT4501', 'ILT4701', 'ILT4711', 'ILT4721', 'ILT4722', 'ILT4732', 'ILT4741', 'ILT4742', 'ILT4750', 'ILT4752', 'ILT4762']"
ING,"['ING4261', 'EGT2050', 'EGT2060', 'EGT2070', 'EGT2080', 'EGT2090', 'EGT2100', 'EGT2110', 'EGT2120', 'EGT2130', 'EGT2140', 'EGT2150', 'EGT2160', 'EGT2170', 'EGT2180', 'EGT2190', 'EGT2200', 'EGT2210', 'EGT2220', 'EGT2230', 'EGT2240', 'EGT2250', 'EGT2260', 'MTF4361', 'MTF3372', 'ING2010', 'ING2020', 'ING2030', 'ING2040', 'ING2050', 'ING2060', 'ING2070', 'ING2110', 'ING2120', 'ING2130', 'ING2140', 'ING2150', 'ING2160']"
INS,"['INS2921', 'INS2931', 'INS2932', 'INS2942', 'INS3832', 'INS3012', 'INS3122', 'INS3222', 'INS3232', 'INS3242', 'INS3452', 'INS3592', 'INS3682', 'INS3712', 'INS3782', 'INS3822', 'INS3892', 'INS4541', 'INS4001', 'INS3542', 'INS3562', 'INS3572', 'INS3692', 'INS4111', 'INS4112', 'INS4121', 'INS4212', 'INS4222', 'INS4232', 'INS4251', 'INS4272', 'INS4412', 'INS4421', 'INS4431', 'INS4452', 'INS4462', 'INS4482', 'INS4491', 'INS4512', 'INS4522', 'INS4532', 'INS4562', 'INS4571', 'INS4572', 'INS4581', 'INS4582', 'INS4711', 'INS4741', 'INS4812', 'INS4822', 'INS4131', 'INS4281', 'INS4291', 'INS4471', 'INS4481', 'INS4631', 'INS4641', 'INS4651', 'INS4721', 'INS4312', 'INS4632', 'INS4642', 'INS4662', 'INS4672', 'INS3841', 'KMM4331', 'INS3001', 'CEV1121', 'CEV1141', 'CEV4452', 'CEV4522', 'END4982', 'HRT3872', 'HRT4512', 'HRT4901', 'INS3921', 'INS3931', 'ISL4350', 'KMM4301', 'MTM2522', 'MTM4501', 'MTM4502']"
ISL,"['MKT4838', 'ISL4150', 'ISL3940', 'ISL4820', 'ISL3990', 'ISL4560', 'ISL3360', 'ISL3450', 'ISL3650', 'ISL3460', 'ISL4450', 'ISL3740', 'ISL3770', 'ISL3810', 'ISL3030', 'ISL3040', 'ISL3160', 'ISL3182', 'ISL3190', 'ISL3530', 'ISL3531', 'ISL3540', 'ISL3541', 'ISL3620', 'ISL3631', 'ISL3641', 'ISL3660', 'ISL3722', 'ISL3730', 'ISL3930', 'ISL3972', 'ISL3982', 'ISL4722', 'ISL4140', 'ISL4240', 'ISL4250', 'ISL4260', 'ISL4330', 'ISL4340', 'ISL4350', 'ISL4420', 'ISL4431', 'ISL4440', 'ISL4470', 'ISL4480', 'ISL4591', 'ISL4611', 'ISL4631', 'ISL4632', 'ISL4640', 'ISL4650', 'ISL4681', 'ISL4682', 'ISL4690', 'ISL4710', 'ISL4740', 'ISL4750', 'ISL4760', 'ISL4780', 'ISL4790', 'ISL4810', 'ISL4830', 'ISL4841', 'ISL4851', 'ISL4860', 'ISL4870', 'ISL4891', 'ISL4910', 'ISL4921', 'ISL4922', 'ISL4931', 'ISL4550', 'ISL4570', 'ISL3670', 'ISL4941', 'ISL4942', 'ISL4612']"
