department_code,vocational_elective_courses
IST,"['IKT3610', 'IST2152', 'IKT1102', 'ISL1171', 'IST1172', 'MAT1812', 'IST2092', 'IST2122', 'IST2082', 'IST2172', 'IST2170', 'IST2072', 'IST3060', 'IST3160', 'IST3190', 'IST3130', 'IST3230', 'IST3330', 'IST3162', 'IST3132', 'IST3252', 'IKT3830', 'ISL2211', 'IST3122', 'IST3152', 'IST3170', 'IST3150', 'IST3210', 'IST3082', 'IST3092', 'IST3050', 'IST3110', 'IST4220', 'IST4140', 'IST4240', 'IST4241', 'IST4221', 'IST4160', 'IST4120', 'IST4130', 'IST4141', 'IST4171', 'IST4132', 'IST4232', 'IST4152', 'IST4242', 'IST4322', 'IST4412', 'IST4422', 'IST4512']"
KIM,"['BYM2301', 'BYM3651', 'KIM2061', 'KIM2571', 'KIM2591', 'KIM2601', 'BME1532', 'KIM2452', 'KIM2582', 'KIM2592', 'KIM2602', 'KIM2612', 'KIM3461', 'KIM3471', 'KIM3481', 'KIM3491', 'KIM3501', 'KIM3052', 'BME4370', 'KIM3472', 'KIM3482', 'KIM3492', 'KIM3502', 'KIM3512', 'KIM3522', 'KIM4211', 'BYM4661', 'KIM4571', 'KIM4331', 'KIM4151', 'KIM4341', 'KIM4451', 'KIM4461', 'KIM4471', 'KIM4481', 'KIM4491', 'KIM4541', 'KIM4551', 'KIM4561', 'KIM4581', 'KIM9901', 'KIM9902', 'KIM9903', 'KIM4182', 'KIM4202', 'KIM4222', 'KIM4272', 'KIM4282', 'KIM4302', 'KIM4352', 'KIM4372', 'KIM4442', 'KIM4462', 'KIM4512', 'KIM4532', 'KIM4572', 'KIM4642', 'KIM4702', 'KIM4712', 'KIM4722', 'KIM4752', 'KIM4792', 'KIM4812', 'KIM4832', 'KIM4852', 'KIM4862', 'KIM4892', 'KIM4902', 'KIM4922', 'KIM4952', 'KIM4992']"
KMM,"['ISL3930', 'KMM3551', 'KMM3561', 'KMM3571', 'ISL4611', 'KMM3581', 'KMM3591', 'KMM3611', 'KMM3621', 'KMM3552', 'KMM3562', 'KMM3572', 'KMM3582', 'KMM3592', 'KMM4641', 'KMM4651', 'KMM4661', 'KMM4671', 'KMM4681', 'KMM4691', 'KMM4711', 'KMM4721', 'KMM4731', 'KMM4331', 'ISL4420', 'KMM4642', 'KMM4652', 'KMM4662', 'KMM4672', 'ELM3252', 'KMM4682', 'KMM4692', 'KMM4702', 'KMM4712', 'KMM4722']"
KOM,"['KOM3510', 'KOM3520', 'KOM3530', 'KOM3540', 'KOM3550', 'KOM3560', 'KOM3570', 'KOM3590', 'KOM3610', 'BME2132', 'KOM4992', 'KOM4993', 'KOM4994', 'EHM3161', 'EHM3171', 'MKT4846', 'EHM3191', 'EHM3731', 'KOM4510', 'KOM4520', 'KOM4530', 'KOM4540', 'KOM4550', 'KOM4560', 'KOM4570', 'KOM4740', 'KOM4580', 'KOM4590', 'KOM4610', 'KOM4620', 'KOM4630', 'KOM4640', 'KOM4650', 'KOM4660', 'KOM4670', 'KOM4680', 'KOM4690', 'KOM4710']"
KVK,"['KVK2111', 'KVK2121', 'KVK2131', 'KVK2141', 'KVK2112', 'KVK2122', 'KVK2132', 'KVK2142', 'MIM3312', 'MIM4061', 'MIM2680', 'KVK3211', 'KVK3221', 'KVK3231', 'MIM3321', 'MIM3331', 'MIM3451', 'KVK3212', 'KVK3222', 'KVK3232', 'MIM3172', 'MIM3322', 'MIM3342', 'MIM3282', 'SBP4390', 'KVK4211', 'KVK4221', 'MIM4101', 'MIM4181', 'MIM4331', 'SBP3330', 'KVK4212', 'MIM4302', 'MIM4322', 'MIM4332', 'MIM4342', 'MIM4600', 'MIM3010', 'KVK3312', 'KVK3322', 'KVK3332', 'KVK3342', 'KVK4312', 'KVK4322', 'KVK4332', 'KVK4342', 'KVK4352']"
MAK,"['MAK3071', 'MAK3081', 'MAK3671', 'MAK3561', 'MAK3141', 'MAK3151', 'MAK3181', 'MAK3191', 'MAK3201', 'MAK3961', 'MAK3461', 'MAK3681', 'MAK3691', 'MAK3401', 'MAK3431', 'MAK3471', 'MAK3441', 'MAK3451', 'MAK3572', 'MAK3402', 'MAK3672', 'MAK3372', 'MAK3802', 'MAK3792', 'MAK3102', 'MAK3662', 'MAK3462', 'MAK3592', 'MAK3162', 'MAK3602', 'MAK3882', 'MAK3812', 'MAK3252', 'MAK3682', 'MAK3272', 'MAK3482', 'MAK3582', 'MAK3472', 'MAK3652', 'MAK3502', 'MAK3692', 'MAK3782', 'MAK3452', 'MAK4501', 'MAK4681', 'MAK4481', 'MAK4541', 'MAK4581', 'MAK4671', 'MAK4561', 'MAK4491', 'MAK4571', 'MAK4401', 'MAK4461', 'MAK4661', 'MAK4651', 'MAK4591', 'MAK4521', 'MAK4071', 'MAK4941', 'MAK4931', 'MAK4921', 'MAK4911', 'MAK4901', 'MAK4181', 'MAK4891', 'MAK4601', 'MAK4241', 'MAK4251', 'MAK4261', 'MAK4801', 'MAK4999', 'MAK4995', 'END3560', 'MAK4542', 'END3570', 'END3870', 'END3880', 'END3890', 'MAK4672', 'END3900', 'END3910', 'END3920', 'END3930', 'END3960', 'END3980', 'MAK4492', 'END3990', 'MAK4464', 'MAK4682', 'MAK4502', 'MAK4402', 'MAK4522', 'MAK4562', 'MAK4532', 'MAK4582', 'MAK4702', 'MAK4652', 'MAK4692', 'MAK4602', 'MAK4662', 'MAK4552', 'MAK4982', 'MAK4592', 'MAK4052', 'MAK4062', 'MAK4082', 'MAK4092', 'MAK4972', 'MAK4962', 'MAK4942', 'MAK4152', 'MAK4172', 'MAK4182', 'MAK4192', 'MAK4202', 'MAK4922', 'MAK4912', 'MAK4902', 'MAK4242', 'MAK4282', 'MAK4292', 'MAK4252', 'MAK4302', 'MAK4892', 'MAK4882']"
MAT,"['MTM2511', 'IST2022', 'MTM2602', 'END3961', 'END3991', 'MTM3561', 'MTM3671', 'IST4131', 'MTM4531', 'MTM4581', 'MTM4641', 'MTM4661', 'MTM4552', 'MTM4622', 'MAT9901', 'MAT9902', 'MAT9903', 'MAT3210', 'MAT3320', 'MAT3220', 'MAT3330', 'MAT3230', 'MAT3340', 'MAT3240', 'MAT3350', 'MAT3250', 'MAT4340', 'MAT3260', 'MAT4350', 'MAT3270', 'MAT4360', 'MAT3280', 'MAT4370', 'MAT3290', 'MAT4380', 'MAT3310', 'MAT4390', 'MAT4410', 'MAT4240', 'MAT4420', 'MAT4250', 'MAT4430', 'MAT4260', 'MAT4440', 'MAT4280', 'MAT4450', 'MAT4290', 'MAT4320', 'MAT4460', 'MAT4330', 'MAT4470', 'MAT4520', 'MAT4480', 'MAT4530', 'MAT4490', 'MAT4540', 'MAT4510', 'MAT4570', 'MAT4550', 'MAT4560', 'MTM3552', 'MTM3571', 'MTM4521', 'MTM4602', 'MTM4692']"
MBG,"['MBG3071', 'MBG3081', 'MBG3091', 'MBG3094', 'MBG3341', 'MBG3121', 'MBG3131', 'IST2170', 'GDM4181', 'MBG3062', 'MBG3072', 'MBG3082', 'MBG3092', 'MBG3093', 'MBG3222', 'MBG3132', 'MBG4041', 'MBG4051', 'MBG4061', 'MBG4071', 'MBG4081', 'MBG4082', 'MBG4431', 'MBG4441', 'MBG4121', 'MBG9901', 'MBG9902', 'MBG9903', 'MBG9904', 'MBG4032', 'MBG4042', 'MBG4052', 'MBG4062', 'MBG4282', 'MBG4472', 'MBG4473', 'MBG4474', 'MBG4492', 'MBG4222']"
MIM,"['MIM2020', 'SBP2010', 'MIM3550', 'MIM4510', 'MIM3540', 'MIM3101', 'MIM3171', 'MIM3121', 'MIM3131', 'MIM3141', 'MIM3151', 'MIM3182', 'MIM3122', 'MIM3142', 'MIM3132', 'MIM4111', 'MIM3441', 'MIM3352', 'MIM3312', 'MIM4121', 'MIM4131', 'MIM4141', 'MIM4151', 'MIM4161', 'MIM4162', 'MIM4122', 'MIM4132', 'MIM4152', 'MIM3531', 'MIM3371', 'MIM4061', 'MIM3272', 'MIM3560', 'MIM3192', 'MIM3201', 'MIM3211', 'MIM3221', 'MIM3281', 'MIM3311', 'MIM3251', 'MIM3261', 'MIM3271', 'MIM3202', 'MIM3212', 'MIM3222', 'MIM3232', 'MIM3242', 'MIM3282', 'MIM3262', 'MIM3361', 'MIM3362', 'MIM4102', 'MIM4201', 'MIM4211', 'MIM4221', 'MIM4231', 'MIM4241', 'MIM4251', 'MIM4261', 'MIM4291', 'MIM4202', 'MIM4212', 'MIM4222', 'MIM4282', 'MIM4242', 'MIM4252', 'MIM4292', 'MIM4262', 'IST1870', 'MIM4600', 'MIM2680', 'MIM3010', 'MIM4341', 'MIM3172', 'MIM4181', 'MIM3332', 'MIM3351', 'MIM3451', 'MIM3321', 'MIM3331', 'MIM3341', 'MIM3322', 'MIM4511', 'MIM4101', 'MIM4351', 'MIM4361', 'MIM4321', 'MIM4302', 'MIM4342', 'MIM4322', 'MIM4332']"
MKT,"['MKT3861', 'MKT3871', 'MKT4811', 'MKT4813', 'MKT4815', 'MKT4837', 'MKT4846', 'MKT4819', 'MAK3281', 'ELM3292', 'END2982', 'KOM3781', 'MKT4818', 'MKT4820', 'MKT4821', 'MKT4822', 'MKT4823', 'MKT4824', 'MKT4825', 'MKT4826', 'MKT4827', 'MKT4828', 'MKT4829', 'MKT4830', 'MKT4831', 'MKT4832', 'MKT4833', 'MKT4834', 'MKT4835', 'MKT4836', 'MKT4838', 'MKT4840', 'MKT4842', 'MKT4844', 'MKT4845', 'END4982', 'MKT4814', 'MKT4816']"
MTF,"['MTF1381', 'MTF1391', 'MTF1382', 'MTF1392', 'ING2110', 'MTF2402', 'MTF2381', 'MTF2391', 'MTF2362', 'MTF2392', 'MTF2382', 'MTF2372', 'MTF3382', 'MTF3392', 'MTF3373', 'MTF3372', 'MTF4351', 'MTF4371', 'MTF4381', 'MTF4401', 'MTF4361', 'MTF4391', 'MTF4372', 'MTF4382', 'MTF4392', 'MTF4393', 'MTF4362']"
MTM,"['MTM2552', 'MTM2562', 'MTM2572', 'MTM2582', 'MTM2622', 'MTM2602', 'MTM2612', 'MTM3521', 'MTM3531', 'MTM3541', 'MTM3551', 'MTM3661', 'MTM3561', 'MTM3571', 'MTM3581', 'MTM3591', 'MTM3671', 'MTM3601', 'MTM3611', 'MTM3621', 'MTM3631', 'MTM3641', 'MTM3681', 'MTM3601', 'MTM3611', 'MTM3621', 'MTM3631', 'MTM3641', 'MTM3681', 'MTM3582', 'MTM3592', 'MTM3602', 'MTM3612', 'MTM3642', 'MTM4521', 'MTM4531', 'MTM4541', 'MTM4551', 'MTM4561', 'MTM4571', 'MTM4581', 'MTM4591', 'MTM4601', 'MTM4661', 'MTM4621', 'MTM4631', 'MTM4641', 'MTM4651', 'MTM4671', 'MTM4681', 'MTM4702', 'MTM4522', 'MTM4532', 'MTM4542', 'MTM4552', 'MTM4562', 'MTM4572', 'MTM4582', 'MTM4592', 'MTM4602', 'MTM4612', 'MTM4682', 'MTM4622', 'MTM4632', 'MTM4642', 'MTM4652', 'MTM4692']"
MTP,"['MTP1721', 'MTP1731', 'MTP1741', 'MTP1751', 'MTP1011', 'MTP1021', 'MTP1031', 'MTP1041', 'MTP1051', 'MTP1061', 'MTP1071', 'MTP1081', 'MTP1091', 'MTP1101', 'MTP1111', 'MTP1121', 'MTP1131', 'MTP1141', 'MTP1761', 'MTP1012', 'MTP1022', 'MTP1032', 'MTP1042', 'MTP1052', 'MTP1062', 'MTP1072', 'MTP1082', 'MTP1092', 'MTP1102', 'MTP1112', 'MTP1122', 'MTP1132', 'MTP1722', 'MTP1172', 'MTP1742', 'MTP1752', 'MTP1142', 'MTP1762', 'MTP2721', 'MTP2011', 'MTP2021', 'MTP2031', 'MTP2041', 'MTP2051', 'MTP2061', 'MTP2071', 'MTP2081', 'MTP2091', 'MTP2241', 'MTP2101', 'MTP2251', 'MTP2261', 'MTP2111', 'MTP2121', 'MTP2131', 'MTP2141', 'MTP2761', 'MTP2191', 'MTP2231', 'MTP2211', 'MTP2221', 'MTP2722', 'MTP2242', 'MTP2262', 'MTP2272', 'MTP2012', 'MTP2022', 'MTP2032', 'MTP2042', 'MTP2052', 'MTP2062', 'MTP2072', 'MTP2082', 'MTP2092', 'MTP2112', 'MTP2122', 'MTP2132', 'MTP2762', 'MTP2102', 'MTP2142', 'MTP2192', 'MTP2202', 'MTP2212', 'MTP2222', 'MTP3141', 'MTP3721', 'MTP3341', 'MTP3441', 'MTP3271', 'MTP3761', 'MTP3011', 'MTP3021', 'MTP3031', 'MTP3041', 'MTP3051', 'MTP3061', 'MTP3071', 'MTP3081', 'MTP3091', 'MTP3101', 'MTP3111', 'MTP3121', 'MTP3131', 'MTP3191', 'MTP3201', 'MTP3211', 'MTP3221', 'MTP3722', 'MTP3342', 'MTP3442', 'MTP3272', 'MTP3762', 'MTP3142', 'MTP3012', 'MTP3022', 'MTP3032', 'MTP3042', 'MTP3052', 'MTP3062', 'MTP3072', 'MTP3082', 'MTP3092', 'MTP3102', 'MTP3112', 'MTP3122', 'MTP3132', 'MTP3192', 'MTP3202', 'MTP3212', 'MTP3222', 'MTP4721', 'MTP4231', 'MTP4271', 'MTP4341', 'MTP4761', 'MTP4141', 'MTP4011', 'MTP4021', 'MTP4031', 'MTP4041', 'MTP4051', 'MTP4061', 'MTP4071', 'MTP4081', 'MTP4091', 'MTP4101', 'MTP4111', 'MTP4121', 'MTP4131', 'MTP4191', 'MTP4201', 'MTP4211', 'MTP4221', 'DTP4762', 'MTP4122', 'MTP4571', 'MTP4572', 'MTP4582', 'MTP4171', 'MTP4181', 'MTP4241', 'MTP4251', 'MTP4252', 'DTP4741', 'DTP4691', 'DTP4692', 'DTP4652', 'DTP2672', 'DTP2671', 'DTP4301', 'DTP4852', 'BSP3141', 'MTP4262', 'MTP4611', 'MTP4740', 'MTP4750', 'DTP4662', 'DTP4841', 'ILT3722', 'ILT2732', 'ILT4712', 'BSP3341', 'BSP3352', 'BSP3301', 'BSP3371', 'BSP4332', 'BSP2372', 'BSP2421', 'BSP2322', 'SYP1392', 'SYP1422', 'SYP2441', 'SYP4451', 'SYP4462', 'DTP2861', 'DTP2751', 'MTP3251', 'MTP3571', 'ILT3251', 'MTP3171', 'MTP3181', 'MTP3241']"
OKL,"['EGT2050', 'EGT2060', 'EGT2070', 'EGT2080', 'EGT2100', 'EGT2110', 'EGT2120', 'EGT2130', 'EGT2140', 'EGT2150', 'EGT2170', 'EGT2180', 'EGT2190', 'EGT2200', 'EGT2210', 'EGT2220', 'EGT2230', 'EGT2240', 'EGT2250', 'EGT2260', 'OKL2100', 'OKL2110', 'OKL2120', 'OKL2130', 'OKL2140', 'OKL2150', 'OKL2160', 'OKL2170', 'OKL2180', 'OKL2190', 'OKL2200', 'OKL2210', 'OKL2220', 'OKL2230', 'OKL2240']"
PDR,"['EGT2050', 'EGT2060', 'EGT2070', 'EGT2080', 'EGT2100', 'EGT2110', 'EGT2120', 'EGT2130', 'EGT2140', 'EGT2150', 'EGT2160', 'EGT2170', 'EGT2180', 'EGT2190', 'EGT2200', 'EGT2210', 'EGT2220', 'EGT2230', 'EGT2240', 'EGT2250', 'EGT2260', 'PDR2280', 'PDR2290', 'PDR2300', 'PDR2310', 'PDR2320', 'PDR2330', 'PDR2340', 'PDR2350', 'PDR2360', 'PDR2370', 'PDR2380', 'PDR2390']"
SBO,"['EGT2050', 'EGT2060', 'EGT2070', 'EGT2080', 'EGT2100', 'EGT2110', 'EGT2120', 'EGT2130', 'EGT2140', 'EGT2150', 'EGT2160', 'EGT2170', 'EGT2180', 'EGT2190', 'EGT2200', 'EGT2210', 'EGT2220', 'EGT2230', 'EGT2240', 'EGT2250', 'EGT2260', 'SBO2070', 'SBO2080', 'SBO2090', 'SBO2410', 'SBO2430', 'SBO2440', 'SBO2450', 'SBO2420', 'SBO2020', 'SBO2030', 'SBO2040', 'SBO2050', 'SBO2060']"
SBP,"['SBP3100', 'SBP2880', 'SBP1300', 'SBP1310', 'SBP1312', 'SBP2300', 'SBP2310', 'SBP2320', 'SBP2330', 'SBP2340', 'SBP2350', 'SBP2900', 'SBP2910', 'SBP3200', 'SBP3210', 'SBP3220', 'SBP3230', 'HRT3390', 'SBP3300', 'SBP3310', 'SBP3320', 'SBP3330', 'SBP3340', 'SBP3350', 'SBP3360', 'SBP3370', 'SBP3380', 'SBP3400', 'SBP3410', 'SBP3420', 'SBP3900', 'SBP3910', 'SBP3920', 'SBP3930', 'MIM3531', 'IST2172', 'IST2170', 'IST4160', 'SBP3010', 'SBP4300', 'SBP4310', 'SBP4320', 'SBP4330', 'SBP4340', 'SBP4350', 'SBP4360', 'SBP4370', 'SBP4380', 'SBP4390', 'SBP4400', 'SBP4410', 'SBP4420', 'SBP4430', 'SBP4440', 'SBP4450', 'SBP4460', 'SBP4470', 'SBP4480', 'SBP4490', 'SBP4900', 'SBP4910', 'SBP4920', 'SBP4930', 'SBP4940', 'SBP4950', 'SBP4960']"
SBU,"['ISL3360', 'ISL3650', 'SBU2252', 'SBU3126', 'SBU3125', 'SBU3123', 'SBU3124', 'IKT3562', 'ISL2442', 'ISL3862', 'ISL4710', 'ISL4851', 'SBU2011', 'SBU2022', 'SBU2551', 'SBU2572', 'SBU2602', 'SBU2612', 'SBU2631', 'SBU2641', 'SBU2642', 'SBU2652', 'SBU2711', 'SBU3112', 'SBU3122', 'SBU3812', 'SBU3912', 'SBU3922', 'SBU4011', 'SBU4012', 'SBU4101', 'SBU4201', 'SBU4301', 'SBU4401', 'SBU4502', 'SBU4521', 'SBU4562', 'SBU4572', 'SBU4611', 'SBU4621', 'SBU4641']"
SNF,"['SNF2150', 'SNF2020', 'SNF2010', 'SNF2030', 'SNF2040', 'SNF2060', 'SNF2100', 'SNF2110', 'SNF2120', 'SNF2130', 'SNF2140', 'SNF2160', 'EGT2150', 'EGT2160', 'EGT2170', 'EGT2180', 'EGT2190', 'EGT2200', 'EGT2210', 'EGT2220', 'EGT2230', 'EGT2240', 'EGT2250', 'EGT2260', 'EGT2060', 'EGT2070', 'EGT2080', 'EGT2100', 'EGT2110', 'EGT2120', 'EGT2130', 'EGT2140']"
SYP,"['SYP1432', 'SYP2110', 'SYP2140', 'SYP2510', 'SYP2770', 'SYP2550', 'SYP2440', 'SYP2772', 'BSP3352', 'SYP2441', 'BSP2441', 'SYP3250', 'SYP3341', 'SYP4541', 'FVP3702', 'SYP4474', 'FVP3161', 'BSP2422', 'BSP3301', 'FVP3452', 'BSP3282', 'FVP3251', 'SYP3200', 'SYP4492', 'SYP4641', 'SYP3372', 'SYP3660', 'SYP4321', 'SYP4472', 'FVP4411', 'SYP3621', 'SYP4331', 'SYP4200', 'SYP3282', 'SYP4411', 'SYP4341', 'FVP4421', 'SYP4521', 'SYP4410', 'SYP4512', 'SYP3980', 'SYP4471', 'SYP4462', 'SYP4460', 'SYP4211', 'FVP2452']"
TDE,"['TDE1305', 'TDE1301', 'TDE2312', 'TDE2302', 'TDE2304', 'TDE3351', 'TDE3311', 'TDE3331', 'TDE3322', 'TDE3306', 'TDE3342', 'TDE4371', 'TDE4381', 'TDE4373', 'TDE4318', 'TDE4304', 'TDE4306', 'TDE4310', 'TDE4342', 'TDE4374', 'TDE2310', 'TDE2306', 'TDE2308', 'TDE3371', 'SYP2131', 'TDE3321', 'TDE3341', 'TDE3372', 'TDE3308', 'TDE3352', 'TDE3382', 'TDE4305', 'TDE4311', 'TDE4321', 'TDE4307', 'TDE4351', 'TDE4309', 'TDE4331', 'TDE4313', 'TDE4341', 'TDE4362', 'TDE4308', 'TDE4312', 'TDE4314', 'TDE4316', 'TDE4352', 'TDE4372']"
