department_code,mandatory_courses
MKT,"['MKT1111', 'MKT1821', 'MKT1831', 'MKT1801', 'MKT1142', 'MKT1122', 'MKT1132', 'MKT1802', 'MKT2151', 'MKT2161', 'MKT2831', 'MKT2141', 'MKT2001', 'MKT2112', 'MKT2802', 'MKT2812', 'MKT2142', 'MKT2822', 'MKT2832', 'MKT3801', 'MKT3811', 'MKT3821', 'MKT3831', 'MKT3841', 'MKT3001', 'MKT3802', 'MKT3122', 'MKT3812', 'MKT3822', 'MKT3832', 'MKT3842', 'MKT4111', 'MKT4801', 'MKT4001', 'MKT4000', 'MKT4802', 'MAT1071', 'MAT1320', 'FIZ1001', 'MDB1031', 'MAT1072', 'FIZ1002', 'MDB1032', 'MAT2411', 'TDB1031', 'TDB1032', 'ATA1031', 'ATA1032']"
KVK,"['KVK1011', 'KVK1021', 'KVK1031', 'KVK1041', 'KVK1051', 'KVK1012', 'KVK1022', 'KVK1032', 'KVK1042', 'KVK1052', 'KVK1062', 'KVK1072', 'KVK2011', 'KVK2021', 'KVK2031', 'KVK2041', 'KVK2051', 'KVK2061', 'KVK2012', 'KVK2022', 'KVK2032', 'KVK2042', 'KVK2052', 'KVK3011', 'KVK3021', 'KVK3031', 'KVK3041', 'KVK3012', 'KVK3022', 'KVK3032', 'KVK3002', 'KVK4011', 'KVK4021', 'KVK4031', 'KVK4000', 'KVK4012', 'KVK4002', 'TDB1031', 'MDB1051', 'MAT1821', 'TDB1032', 'MDB1052', 'ATA1031', 'ATA1032']"
MIM,"['MIM1011', 'MIM1031', 'MIM1051', 'MIM1041', 'MIM1062', 'MIM1012', 'MIM1042', 'MIM1032', 'MIM1052', 'MIM2081', 'MIM2011', 'MIM2071', 'MIM2031', 'MIM2101', 'MIM2001', 'MIM2201', 'MIM2082', 'MIM2042', 'MIM2092', 'MIM2012', 'MIM2002', 'MIM2202', 'MIM3011', 'MIM3051', 'MIM3031', 'MIM3041', 'MIM3012', 'MIM3062', 'MIM3042', 'MIM3052', 'MIM3032', 'MIM4011', 'MIM4001', 'MIM4051', 'MIM4031', 'MIM4041', 'MIM4012', 'MIM4000', 'TDB1031', 'MDB1031', 'MAT1821', 'ATA1031', 'TDB1032', 'ATA1032', 'MDB1032', 'MDB2051', 'SBP3991', 'MDB3032']"
SBP,"['SBP1031', 'SBP1041', 'SBP1111', 'SBP1121', 'SBP1062', 'SBP1112', 'SBP2021', 'SBP2031', 'SBP2051', 'SBP2061', 'SBP2941', 'SBP1172', 'SBP2002', 'SBP2062', 'SBP2072', 'SBP2082', 'SBP3021', 'SBP3031', 'SBP3041', 'SBP3111', 'SBP3161', 'SBP3181', 'SBP3002', 'SBP3052', 'SBP3172', 'SBP4181', 'SBP4911', 'SBP4000', 'SBP4182', 'SBP4912', 'ENF1170', 'MAT1821', 'MDB1031', 'IKT1092', 'IST1930', 'MDB1032', 'MDB2051', 'TDB1031', 'TDB1032', 'MDB3032', 'ATA1031', 'ATA1032']"
ILT,"['BSP2162', 'ILT1611', 'ILT1621', 'ILT1612', 'ILT1622', 'ILT2601', 'ILT2611', 'ILT2661', 'ILT2651', 'ILT2612', 'ILT2652', 'ILT2662', 'ILT3671', 'ILT3651', 'ILT3661', 'ILT3622', 'ILT3652', 'ILT4651', 'ILT4000', 'BSP1101', 'BSP2161', 'MDB1051', 'SYP1611', 'TDP1031', 'BSP2162', 'BSP1102', 'MDB1052', 'SYP1612', 'TDB1032', 'BSP3282', 'ATA1031', 'ATA1032']"
MTP,"['MTP1151', 'MTP1152', 'MTP1162', 'MTP2161', 'MTP2171', 'MTP2181', 'MTP2151', 'MTP2162', 'MTP2182', 'MTP2172', 'MTP2152', 'MTP3161', 'MTP3151', 'MTP3152', 'MTP3162', 'MTP4151', 'MTP4000', 'SYP1611', 'BSP1101', 'DTP1801', 'MDB1051', 'DTP1802', 'SYP1612', 'BSP1102', 'MDB1052', 'DTP2801', 'DTP2811', 'TDB1031', 'DTP2802', 'DTP2812', 'TDB1032', 'DTP3811', 'DTP3801', 'DTP3831', 'ATA1031', 'ATA1032', 'BSP3282', 'DTP3812', 'DTP3802', 'DTP3832', 'DTP4801', 'DTP4831', 'DTP4811']"
DTP,"['DTP1801', 'DTP1802', 'DTP2801', 'DTP2811', 'DTP2821', 'DTP2802', 'DTP2812', 'DTP2822', 'DTP3801', 'DTP3811', 'DTP3821', 'DTP3831', 'DTP3841', 'DTP3802', 'DTP3812', 'DTP3822', 'DTP3832', 'DTP4801', 'DTP4811', 'DTP4821', 'DTP4831', 'DTP4000', 'BSP1101', 'MDB1051', 'MTP1151', 'SYP1611', 'BSP1102', 'MDB1052', 'MTP1152', 'MTP1162', 'SYP1612', 'MTP2151', 'MTP2161', 'MTP2171', 'TDB1031', 'MTP2152', 'MTP2162', 'MTP2172', 'TDB1032', 'ATA1031', 'MTP3151', 'MTP3161', 'ATA1032', 'BSP3282', 'MTP3152', 'MTP3162', 'MTP4151']"
BSP,"['SYP1061', 'BSP2162', 'BSP1101', 'BSP1231', 'BSP2161', 'BSP2162', 'BSP1102', 'BSP1232', 'BSP2231', 'BSP2431', 'BSP2451', 'BSP2032', 'BSP2432', 'BSP2452', 'BSP3011', 'BSP3231', 'BSP3012', 'BSP3222', 'BSP3282', 'BSP3292', 'BSP4221', 'BSP4231', 'BSP4241', 'BSP4000', 'BSP4252', 'MDB1051', 'SYP1021', 'SYP1041', 'MDB1052', 'SYP1072', 'SYP1061', 'SYP2131', 'TDB1031', 'SYP2182', 'TDB1032', 'ATA1031', 'SYP3221', 'ATA1032']"
SYP,"['SYP2142', 'SYP1041', 'SYP1061', 'SYP1071', 'SYP1092', 'SYP2111', 'SYP1062', 'SYP1072', 'SYP1082', 'SYP1112', 'SYP1422', 'SYP1392', 'SYP2151', 'SYP2161', 'SYP2171', 'SYP2561', 'SYP2141', 'SYP2182', 'SYP2192', 'SYP3211', 'SYP3221', 'SYP3241', 'SYP3252', 'SYP3352', 'SYP3342', 'SYP4421', 'SYP4491', 'SYP4000', 'SYP4412', 'BSP1101', 'MDB1051', 'TDB1031', 'BSP1102', 'MDB1052', 'TDB1032', 'BSP2161', 'BSP2162', 'ATA1031', 'ATA1032']"
FVP,"['FVP1141', 'FVP1121', 'FVP1131', 'FVP1132', 'FVP1102', 'FVP1122', 'FVP2101', 'FVP2111', 'FVP2151', 'FVP2131', 'FVP2141', 'FVP2102', 'FVP2112', 'FVP2132', 'FVP2122', 'FVP2142', 'FVP3131', 'FVP3151', 'FVP3121', 'FVP3141', 'FVP3132', 'FVP3142', 'FVP3122', 'FVP4301', 'FVP4111', 'FVP4000', 'TDB1031', 'MDB1051', 'BSP1101', 'SYP1021', 'SYP1041', 'MDB1052', 'TDB1032', 'BSP1102', 'SYP2182', 'BSP3282', 'ATA1031', 'ATA1032']"
GRA,"['GRA1011', 'GRA1021', 'GRA1031', 'GRA1041', 'GRA1012', 'GRA1022', 'GRA1032', 'GRA1042', 'GRA2011', 'GRA2021', 'GRA2031', 'GRA2041', 'GRA2051', 'GRA2012', 'GRA2022', 'GRA2032', 'GRA2042', 'GRA2052', 'GRA3011', 'GRA3021', 'GRA3031', 'GRA3041', 'GRA3012', 'GRA3022', 'GRA3032', 'GRA3042', 'GRA4011', 'GRA4021', 'GRA4031', 'GRA4000', 'GRA4032', 'GRA4022', 'MDB1051', 'SYP1041', 'TDB1031', 'MDB1052', 'SYP2131', 'TDB1032', 'ATA1031', 'ATA1032']"
