department_code,mandatory_courses
KOM,"['EHM4991', 'KOM4991', 'ELM4991', 'BLM4991', 'KOM1021', 'KOM1061', 'KOM1991', 'KOM1012', 'KOM1062', 'KOM1992', 'KOM2711', 'KOM2721', 'KOM2731', 'KOM2751', 'KOM2002', 'KOM2072', 'KOM2702', 'KOM2712', 'KOM2722', 'KOM3751', 'KOM3761', 'KOM3771', 'KOM3781', 'KOM3002', 'KOM3712', 'KOM3722', 'KOM3752', 'KOM3772', 'KOM4221', 'KOM4321', 'KOM4421', 'KOM4521', 'KOM9000', 'ATA1031', 'FIZ1001', 'MAT1071', 'MDB1031', 'TDB1031', 'IST1990', 'ATA1032', 'MAT1072', 'MDB1032', 'TDB1032', 'ENF1180', 'MAT2411']"
MTF,"['MTF1111', 'MTF1121', 'MTF1131', 'MTF1112', 'MTF1122', 'MTF1132', 'MTF1142', 'MTF1152', 'MTF2051', 'MTF2111', 'MTF2121', 'MTF2131', 'MTF2141', 'MTF2151', 'MTF2092', 'MTF2112', 'MTF2122', 'MTF2132', 'MTF2142', 'MTF2152', 'MTF3001', 'MTF3211', 'MTF3311', 'MTF3321', 'MTF3331', 'MTF3341', 'MTF3991', 'MTF3132', 'MTF3212', 'MTF3312', 'MTF3322', 'MTF3323', 'MTF3324', 'MTF4001', 'MTF4201', 'MTF4211', 'MTF4451', 'MTF4461', 'MTF4471', 'MTF4991', 'MTF4462', 'MTF4472', 'MTF9000', 'ATA1031', 'TDB1031', 'ATA1032', 'TDB1032', 'ENF1100']"
FIZ,"['FIZ1111', 'FIZ1121', 'FIZ1112', 'FIZ1122', 'FIZ1262', 'FIZ2131', 'FIZ2211', 'FIZ2221', 'FIZ2271', 'FIZ2132', 'FIZ2152', 'FIZ2282', 'FIZ3401', 'FIZ3411', 'FIZ3421', 'FIZ3222', 'FIZ3402', 'FIZ3422', 'FIZ4101', 'FIZ4111', 'FIZ9000', 'KIM1170', 'KIM1611', 'MDB1031', 'MAT1071', 'TDB1031', 'KIM1612', 'MAT1072', 'MDB1032', 'TDB1032', 'ATA1031', 'MDB2051', 'ATA1032', 'ENF1170']"
IST,"['IST1131', 'IST1141', 'IST1081', 'IST1132', 'IST1142', 'IST2161', 'IST2131', 'IST2041', 'IST2081', 'IST2121', 'IST2162', 'IST2022', 'IST2252', 'IST2142', 'IST3121', 'IST3131', 'IST3141', 'IST3011', 'IST3012', 'IST3142', 'IST3002', 'IST4131', 'IST4111', 'IST4122', 'IST4000', 'TDB1031', 'MAT1001', 'MDB1031', 'ATA1031', 'MAT1811', 'TDB1032', 'MAT1002', 'ENF1170', 'ATA1032', 'MDB1032', 'MAT2001', 'IKT1101', 'MAT2412', 'MDB2051', 'MDB3032']"
KIM,"['KIM1131', 'KIM1611', 'KIM1621', 'KIM1701', 'KIM1022', 'KIM1602', 'KIM1612', 'KIM2511', 'KIM2521', 'KIM2531', 'KIM2541', 'KIM2551', 'KIM2512', 'KIM2522', 'KIM2532', 'KIM2542', 'KIM2552', 'KIM2562', 'KIM3411', 'KIM3421', 'KIM3431', 'KIM3441', 'KIM3451', 'KIM3412', 'KIM3422', 'KIM3432', 'KIM3442', 'KIM3452', 'KIM3462', 'KIM4001', 'KIM4801', 'KIM4911', 'KIM4921', 'KIM4931', 'KIM4392', 'KIM9000', 'ATA1031', 'FIZ1001', 'MAT1071', 'MDB1031', 'TDB1031', 'ATA1032', 'FIZ1002', 'MAT1072', 'MDB1032', 'TDB1032']"
MBG,"['MBG1011', 'MBG1012', 'MBG1032', 'MBG1042', 'MBG2041', 'MBG2211', 'MBG2221', 'MBG2231', 'MBG2241', 'MBG2042', 'MBG2212', 'MBG2222', 'MBG2232', 'MBG2242', 'MBG3011', 'MBG3051', 'MBG3321', 'MBG3331', 'MBG3052', 'MBG3312', 'MBG3322', 'MBG3332', 'MBG4001', 'MBG4411', 'MBG4421', 'MBG4412', 'MBG4000', 'ATA1031', 'ENF1170', 'FIZ1001', 'KIM1511', 'MAT1821', 'TDB1031', 'ATA1032', 'FIZ1002', 'KIM1512', 'MDB1032', 'TDB1032', 'MDB2051', 'MDB3032']"
MAT,"['MAT1141', 'MAT1151', 'MAT1161', 'MAT1171', 'MAT1142', 'MAT1152', 'MAT1162', 'MAT2041', 'MAT2091', 'MAT2131', 'MAT2141', 'MAT2171', 'MAT2042', 'MAT2092', 'MAT2142', 'MAT2172', 'MAT2192', 'MAT3151', 'MAT3161', 'MAT3171', 'MAT3181', 'MAT3152', 'MAT3172', 'MAT3182', 'MAT4041', 'MAT4111', 'MAT9000', 'FIZ1001', 'MDB1031', 'TDB1031', 'FIZ1002', 'MDB1032', 'TDB1032', 'ATA1031', 'ATA1032']"
TDE,"['TDE1241', 'TDE1241', 'TDE1251', 'TDE1211', 'TDE1271', 'TDE1221', 'TDE1242', 'TDE1212', 'TDE1252', 'TDE1272', 'TDE1262', 'TDE1222', 'TDE2211', 'TDE2221', 'TDE2241', 'TDE2261', 'TDE2251', 'TDE2271', 'TDE2231', 'TDE2281', 'TDE2222', 'TDE2262', 'TDE2242', 'TDE2232', 'TDE2242', 'TDE2232', 'TDE2212', 'TDE2252', 'TDE3241', 'TDE3261', 'TDE3211', 'TDE3231', 'TDE3221', 'TDE3242', 'TDE3262', 'TDE3272', 'TDE3212', 'TDE3252', 'TDE4251', 'TDE4271', 'TDE4241', 'TDE4242', 'TDE4262', 'TDE4000', 'ENF1100', 'MDB1051', 'MDB1052', 'ATA1031', 'ATA1032']"
IKT,"['IKT1101', 'IKT1111', 'IKT1121', 'IKT1102', 'IKT1112', 'IKT1122', 'IKT2201', 'IKT2211', 'IKT2281', 'IKT2901', 'IKT2202', 'IKT2212', 'IKT2222', 'IKT2272', 'IKT2902', 'IKT3311', 'IKT3321', 'IKT3901', 'IKT3362', 'IKT3902', 'IKT4401', 'IKT4411', 'IKT4000', 'IKT4422', 'ISL1171', 'ISL1711', 'MDB1031', 'TDB1031', 'ISL1182', 'MDB1032', 'SBU1612', 'TDB1032', 'ATA1031', 'ENF1100', 'ATA1032', 'ENF1170']"
ISL,"['ISL1171', 'ISL1181', 'ISL1611', 'ISL1711', 'ISL1182', 'ISL1552', 'ISL1622', 'ISL2211', 'ISL2441', 'ISL2481', 'ISL2731', 'ISL2851', 'ISL2122', 'ISL2132', 'ISL2442', 'ISL2452', 'ISL2642', 'ISL3051', 'ISL3221', 'ISL3411', 'ISL3621', 'ISL3152', 'ISL3522', 'ISL3562', 'ISL3662', 'ISL3862', 'ISL3912', 'ISL4051', 'ISL4251', 'ISL4421', 'ISL4551', 'ISL4000', 'ISL4582', 'ISL4692', 'ATA1031', 'IKT1101', 'MDB1031', 'TDB1031', 'ATA1032', 'IKT1102', 'MDB1032', 'TDB1032', 'MDB2051', 'ENF1170', 'MDB3032', 'IKT4402']"
